block,class_name,teacher_name,room_number,student_email,student_name
A1,,,,,-\/- 
B1,,,,,-\/- 
C1,,,,,-\/- 
D1,,,,,-\/- 
E1,,,,,-\/- 
F1,,,,,-\/- 
G1,,,,,-\/- 
H1,,,,,-\/- 
A2,,,,,-\/- 
B2,,,,,-\/- 
C2,,,,,-\/- 
D2,,,,,-\/- 
E2,,,,,-\/- 
F2,,,,,-\/- 
G2,,,,,-\/- 
H2,,,,,-\/- 
A1,Math,Mr. Math,109,gStudent2031@student.amsacs.org,Generic Student
B1,Physics,Mrs. Physics,348,gStudent2031@student.amsacs.org,Generic Student
C1,Biology,Mr. Biology,232,gStudent2031@student.amsacs.org,Generic Student
D1,CompSci,Mrs. CompSci,207,gStudent2031@student.amsacs.org,Generic Student
E1,PE,Mr. PhysEd,344,gStudent2031@student.amsacs.org,Generic Student
F1,Art,Mrs. Art,435,gStudent2031@student.amsacs.org,Generic Student
G1,Engl/Lit,Mr. ELA,173,gStudent2031@student.amsacs.org,Generic Student
H1,DS,Mrs. DS,353,gStudent2031@student.amsacs.org,Generic Student
A2,Math,Mr. Math,218,gStudent2031@student.amsacs.org,Generic Student
B2,Physics,Mrs. Physics,492,gStudent2031@student.amsacs.org,Generic Student
C2,Chem,Mr. Chem,397,gStudent2031@student.amsacs.org,Generic Student
D2,CompSci,Mrs. CompSci,439,gStudent2031@student.amsacs.org,Generic Student
E2,Health,Mr. Health,280,gStudent2031@student.amsacs.org,Generic Student
F2,Latin,Mrs. Latin,404,gStudent2031@student.amsacs.org,Generic Student
G2,Engl/Lit,Mr. ELA,473,gStudent2031@student.amsacs.org,Generic Student
H2,DS,Mrs. DS,261,gStudent2031@student.amsacs.org,Generic Student
A1,History,Miles Fisher,308,f2last22031@student.amsacs.org,first2 Last2
A2,History,Miles Fisher,308,f2last22031@student.amsacs.org,first2 Last2
B1,Art,John Morgan,319,f2last22031@student.amsacs.org,first2 Last2
B2,PreAlg6B,Tran Trang,106,f2last22031@student.amsacs.org,first2 Last2
C1,Latin,Zak Prescott,203,f2last22031@student.amsacs.org,first2 Last2
C2,Health,Jenna Logan,FK,f2last22031@student.amsacs.org,first2 Last2
D1,PreAlg6B,Tran Trang,106,f2last22031@student.amsacs.org,first2 Last2
D2,PreAlg6B,Tran Trang,106,f2last22031@student.amsacs.org,first2 Last2
E1,R&W Workshop,Amanda Morin,304,f2last22031@student.amsacs.org,first2 Last2
E2,Biology,Alexandra Teare,206,f2last22031@student.amsacs.org,first2 Last2
F1,CompSci,Lino Alvarez,211,f2last22031@student.amsacs.org,first2 Last2
F2,CompSci,Lino Alvarez,211,f2last22031@student.amsacs.org,first2 Last2
G1,English,Amanda Morin,304,f2last22031@student.amsacs.org,first2 Last2
G2,English,Amanda Morin,304,f2last22031@student.amsacs.org,first2 Last2
H1,DS,Tran Trang,106,f2last22031@student.amsacs.org,first2 Last2
H2,DS,Tran Trang,106,f2last22031@student.amsacs.org,first2 Last2
A1,CS8,,26,lalvarez@amsacs.org,Lino Alvarez
A2,CS8,,26,lalvarez@amsacs.org,Lino Alvarez
B1,,,,lalvarez@amsacs.org,Lino Alvarez
B2,CS8,,22,lalvarez@amsacs.org,Lino Alvarez
C1,WD1,,26,lalvarez@amsacs.org,Lino Alvarez
C2,CS8,,23,lalvarez@amsacs.org,Lino Alvarez
D1,,,,lalvarez@amsacs.org,Lino Alvarez
D2,,,,lalvarez@amsacs.org,Lino Alvarez
E1,CS8,,11,lalvarez@amsacs.org,Lino Alvarez
E2,CS8,,22,lalvarez@amsacs.org,Lino Alvarez
F1,CS6,,25,lalvarez@amsacs.org,Lino Alvarez
F2,CS6,,25,lalvarez@amsacs.org,Lino Alvarez
G1,,,,lalvarez@amsacs.org,Lino Alvarez
G2,CS8,,14,lalvarez@amsacs.org,Lino Alvarez
H1,DS,,,lalvarez@amsacs.org,Lino Alvarez
H2,DS,,,lalvarez@amsacs.org,Lino Alvarez




